호선,역명,지역(시),지역(구),지역(동),지가,지역(시),지역(구),지역(로),면적(㎡),카테고리,임대료,,
2호선,건대입구역,서울특별시,광진구,화양동,4372646.939,서울특별시,광진구,아차산로,48.2,화장품,"10,226,478",,
2호선,건대입구역,서울특별시,광진구,화양동,4372646.939,서울특별시,광진구,아차산로,36.04,의류잡화,"11,100,000",,
7호선,건대입구역,서울특별시,광진구,화양동,4372646.939,서울특별시,광진구,아차산로,37.36,편의점,"11,116,490",,
7호선,건대입구역,서울특별시,광진구,화양동,4372646.939,서울특별시,광진구,아차산로,867.64,소매업,"16,415,740",,
7호선,건대입구역,서울특별시,광진구,화양동,4372646.939,서울특별시,광진구,아차산로,75,소매업,"21,308,277",,
7호선,건대입구역,서울특별시,광진구,화양동,4372646.939,서울특별시,광진구,아차산로,76,의료,"26,100,000",,
2호선,건대입구역,서울특별시,광진구,화양동,4372646.939,서울특별시,광진구,아차산로,29.5,의류잡화,"6,680,00",,
3호선,경복궁역,서울특별시,종로구,적선동,9317948.276,서울특별시,종로구,사직로,25.5,카페,"3,713,383",,
3호선,경찰병원역,서울특별시,송파구,가락동,5233672.496,서울특별시,송파구,중대로,37.4,식품제과,"518,300",,
3호선,경찰병원역,서울특별시,송파구,가락동,5233672.496,서울특별시,송파구,중대로,57,소매업,"1,120,000",,
5호선,고덕역,서울특별시,강동구,고덕동,1822725.558,서울특별시,강동구,고덕로,42.94,식품제과,"2,876,000",,
5호선,고덕역,서울특별시,강동구,고덕동,1822725.558,서울특별시,강동구,고덕로,28.62,편의점,"5,036,580",,
6호선,고려대역,서울특별시,성북구,종암동,2215475.627,서울특별시,성북구,종암로,25,카페,"2,014,601",,
6호선,고려대역,서울특별시,성북구,종암동,2215475.627,서울특별시,성북구,종암로,37,화장품,"2,981,609",,
6호선,고려대역,서울특별시,성북구,종암동,2215475.627,서울특별시,성북구,종암로,63,의류잡화,"5,076,794",,
6호선,고려대역,서울특별시,성북구,종암동,2215475.627,서울특별시,성북구,종암로,38.39,화장품,"7,571,147",,
6호선,고려대역,서울특별시,성북구,종암동,2215475.627,서울특별시,성북구,종암로,35,편의점,"10,602,944",,
3호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,13.67,의류잡화,"2,374,190",,
3호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,20.45,식품제과,"3,551,733",,
7호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,360,사무실,"3,949,782",,
7호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,44,식품제과,"4,391,210",,
7호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,47,의류잡화,"5,229,593",,
7호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,48,의류잡화,"5,340,861",,
7호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,556,사무실,"6,100,218",,
7호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,71.53,식품제과,"7,470,141",,
3호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,61.37,의류잡화,"10,658,673",,
3호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,16,카페,"11,540,880",,
3호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,33.75,의류잡화,"12,669,100",,
7호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,60.27,편의점,"17,542,140",,
3호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,106.63,의류잡화,"18,519,380",,
3호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,28.8,화장품,"31,563,813",,
7호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,123.69,소매업,"145,000,000",,
3호선,고속터미널역,서울특별시,서초구,반포동,6874782.444,서울특별시,서초구,신반포로,7475.19,의류잡화,"279,648,140",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,13.6,소매업,"865,728",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,32,소매업,"1,270,000",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,32,소매업,"1,350,000",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,28.5,소매업,"1,586,667",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,37,소매업,"1,654,000",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,28.6,의류잡화,"2,056,481",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,28.7,의류잡화,"2,063,667",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,26,식품제과,"2,255,664",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,26,식품제과,"2,255,664",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,32,식품제과,"2,400,164",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,32,소매업,"3,152,770",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,41.58,의류잡화,"3,511,500",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,48,의류잡화,"3,600,246",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,22,식당,"3,817,278",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,33.71,소매업,"4,257,000",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,28.2,의류잡화,"4,366,121",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,60,의류잡화,"4,500,308",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,30,의류잡화,"4,810,580",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,66,소매업,"4,950,339",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,27,의류잡화,"5,120,000",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,32,의류잡화,"5,131,210",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,32,의류잡화,"5,131,210",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,32.2,의류잡화,"5,163,273",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,30,화장품,"5,205,379",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,34.9,편의점,"7,008,188",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,36,의류잡화,"7,269,700",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,47.3,의류잡화,"7,453,288",,
